model,sequence_id,length,aa_L1_divergence,kmer3_JSD,kmer5_JSD,shannon_entropy,hydrophobicity,net_charge,molecular_weight,repetitive_content,low_complexity_fraction,motif_VAIK,motif_HRD,motif_DFG,motif_APE,motif_GxGxxG
progen,seq_00001,510,0.6464902792993891,0.7912228986895402,0.9967220040809506,3.6868994041097323,-0.4745098039215687,0.050980392156862744,59672,0.021653543307086614,0.028056112224448898,0,0,0,0,1
progen,seq_00002,510,0.41794267116278844,0.7857823060636088,0.997307629841466,4.018693329904975,-1.0662745098039215,0.041176470588235294,66304,0.011811023622047244,0.03406813627254509,0,0,0,0,0
progen,seq_00003,510,0.3332582154689145,0.763085267724012,0.9974792616230614,3.987459862835863,-0.5078431372549019,0.01568627450980392,63256,0.00984251968503937,0.006012024048096192,0,0,0,0,0
progen,seq_00004,510,0.3299480060641798,0.7833592777956273,0.997388774435321,4.0680687473455475,-0.38549019607843144,0.054901960784313725,64409,0.011811023622047244,0.006012024048096192,0,0,0,1,0
progen,seq_00005,510,0.37132691026316983,0.7829121499670728,0.9973830329048131,4.062555859292049,-0.4047058823529412,0.047058823529411764,63375,0.013779527559055118,0.012024048096192385,0,0,0,0,0
progen,seq_00006,510,0.23239125977367184,0.7936110355098079,0.9976769409891381,4.202839761337604,-0.327843137254902,0.027450980392156862,66458,0.021653543307086614,0.018036072144288578,0,0,0,0,0
progen,seq_00007,510,0.7004714029246693,0.7876551579411011,0.9955564967352609,3.3717544538370086,-0.08568627450980389,0.0196078431372549,60709,0.021653543307086614,0.07615230460921844,0,0,0,0,0
progen,seq_00008,510,0.2196443070568635,0.7826290756852177,0.9978449843256771,4.146831331514443,-0.5721568627450981,0.00980392156862745,64854,0.00984251968503937,0.0,1,0,0,0,0
progen,seq_00009,510,0.4190724435698944,0.770362080101589,0.9966876701168302,3.89275631717166,-0.5174509803921569,0.027450980392156862,64973,0.011811023622047244,0.018036072144288578,0,0,0,0,0
progen,seq_00010,510,0.6293421903427554,0.7837512471058675,0.9970241090026378,3.7018703954031977,-0.44607843137254904,-0.029411764705882353,62306,0.007874015748031496,0.0,0,0,0,0,1
